x,res
-10.0,-1.1924238289870837
-9.99,-1.1688265688686272
-9.98,-1.1452294234408644
-9.97,-1.1216486469385047
-9.96,-1.098099820604645
-9.950000000000001,-1.074597798968521
-9.940000000000001,-1.0511566635594958
-9.930000000000001,-1.0277896838445284
-9.920000000000002,-1.004509285107607
-9.910000000000002,-0.981327023001685
-9.900000000000002,-0.9582535644019068
-9.890000000000002,-0.9352986741883393
-9.880000000000003,-0.9124712075353878
-9.870000000000003,-0.889779107277317
-9.860000000000003,-0.8672294059024221
-9.850000000000003,-0.8448282317187319
-9.840000000000003,-0.8225808187398588
-9.830000000000004,-0.8004915198479045
-9.820000000000004,-0.7785638227737743
-9.810000000000004,-0.7568003684955453
-9.800000000000004,-0.7352029716278701
-9.790000000000004,-0.7137726424361843
-9.780000000000005,-0.6925096100718607
-9.770000000000005,-0.6714133467205018
-9.760000000000005,-0.6504825923353215
-9.750000000000005,-0.6297153796460223
-9.740000000000006,-0.609109059190419
-9.730000000000006,-0.5886603241134796
-9.720000000000006,-0.5683652345268264
-9.710000000000006,-0.5482192411981756
-9.700000000000006,-0.5282172084292857
-9.690000000000007,-0.5083534359432962
-9.680000000000007,-0.4886216796510723
-9.670000000000007,-0.46901517117663866
-9.660000000000007,-0.44952663602904874
-9.650000000000007,-0.43014831035007445
-9.640000000000008,-0.4108719561463487
-9.630000000000008,-0.39168887494287996
-9.620000000000008,-0.3725899198097447
-9.610000000000008,-0.35356550571771717
-9.600000000000009,-0.3346056181807127
-9.590000000000009,-0.31569982014659825
-9.580000000000009,-0.29683725713261283
-9.57000000000001,-0.27800666055462386
-9.56000000000001,-0.2591963492478451
-9.55000000000001,-0.24039422915725786
-9.54000000000001,-0.22158779117287974
-9.53000000000001,-0.20276410709733972
-9.52000000000001,-0.18391541837134956
-9.51000000000001,-0.16501655813112714
-9.50000000000001,-0.14605909255389643
-9.49000000000001,-0.12702833819250697
-9.480000000000011,-0.10790914353751235
-9.470000000000011,-0.08868587324406303
-9.460000000000012,-0.06934239027847808
-9.450000000000012,-0.04986203593789997
-9.440000000000012,-0.030227607682421002
-9.430000000000012,-0.010421334823434563
-9.420000000000012,0.00957514953115552
-9.410000000000013,0.029780833663131032
-9.400000000000013,0.05021536456474141
-9.390000000000013,0.07089907810590675
-9.380000000000013,0.09185303742148951
-9.370000000000013,0.11310085520780795
-9.360000000000014,0.13466150820466552
-9.350000000000014,0.1565603781263273
-9.340000000000014,0.1788218652926511
-9.330000000000014,0.20147132782848037
-9.320000000000014,0.2245351381222387
-9.310000000000015,0.2480407432091091
-9.300000000000015,0.2720167293086196
-9.290000000000015,0.2964928907939359
-9.280000000000015,0.32150030386451783
-9.270000000000016,0.3470714052447272
-9.260000000000016,0.3732400762451799
-9.250000000000016,0.4000417325587592
-9.240000000000016,0.4275134201920478
-9.230000000000016,0.4556939179651859
-9.220000000000017,0.4846238470664514
-9.210000000000017,0.5143457881669948
-9.200000000000017,0.5449044066637815
-9.190000000000017,0.576346586660197
-9.180000000000017,0.6087215743508683
